"MATCH_SCORE","ID_1","NAME_1","HOSTNAME_1","NEIGHB_1","LATITUDE_1","LONGITUDE_1","ROOM_TYPE_1","ID_2","NAME_2","HOSTNAME_2","NEIGHB_2","LATITUDE_2","LONGITUDE_2","ROOM_TYPE_2"
"93","1026336","apartment in the center of rome","Alessandro","XII Monte Verde","4,187,786","1,245,726","Entire home/apt","11494497","Cozy two rooms apartment in central Rome","Alessandro","I Centro Storico","4,191,613","1,245,671","Entire home/apt"
"93","1000327","Rome St. Peter","Stefano","XII Monte Verde","4,187,735","1,244,815","Entire home/apt","21353599","Luxury & Design Apartment Rome S.Peter","Stefano","XIII Aurelia","4,189,944","124,556","Entire home/apt"
"93","945467","Colosseo Cosy Suite 19","Colosseo Cosy","I Centro Storico","4,188,955","125,058","Entire home/apt","16895857","Colosseo Cosy Suite 18","Colosseo Cosy","I Centro Storico","4,188,875","1,250,646","Entire home/apt"
"93","558950","LA BRICIOLA LOFT IN TRASTEVERE","Carla","I Centro Storico","4,188,949","12,476","Entire home/apt","24681972","Briciola II loft in the heart of Trastevere","Carla","I Centro Storico","4,188,806","1,247,635","Entire home/apt"
"93","998427","TRASTEVERE HEART OF ROME- WIFI FREE!","Daniela","I Centro Storico","4,188,985","1,246,873","Entire home/apt","33539658","In the heart of Trastevere","Daniela","I Centro Storico","4,188,758","1,246,998","Entire home/apt"
"92","761028","Triple room-""Opera Inn Suites B&B""","Elisabetta","XIII Aurelia","4,189,792","1,245,228","Private room","55404","Double room - Opera Inn Suites B&B","Elisabetta","XIII Aurelia","4,189,745","124,545","Private room"
"92","761603","Quadruple room-Opera Inn Suites B&B","Elisabetta","XIII Aurelia","4,189,758","1,245,438","Private room","55404","Double room - Opera Inn Suites B&B","Elisabetta","XIII Aurelia","4,189,745","124,545","Private room"
"92","675485","GREAT B&B IN A GREAT LOCATION *2","Valentina","I Centro Storico","4,189,782","1,249,611","Private room","163126","GREAT B&B IN A GREAT LOCATION *1","Valentina","I Centro Storico","4,190,007","1,249,492","Private room"
"92","550400","B&B Bio Organic  Roma Turmeric Room","Barbara","XV Cassia/Flaminia","4,194,253","1,244,083","Private room","322298","B&B Bio Organic  Roma Ginger Room","Barbara","XV Cassia/Flaminia","4,194,394","1,244,066","Private room"
"92","871865","Charming flat near Campo de Fiori","Alessandro","I Centro Storico","418,992","1,246,675","Entire home/apt","871676","Charming boat in Campo de' Fiori","Alessandro","I Centro Storico","4,189,772","124,719","Entire home/apt"
"92","825299","Pettinarihome 2 Campo dei Fiori","Rita","I Centro Storico","4,189,553","1,247,368","Entire home/apt","747656","Pettinarihome Campo de FIORI","Rita","I Centro Storico","4,189,439","1,247,296","Entire home/apt"
"92","761603","Quadruple room-Opera Inn Suites B&B","Elisabetta","XIII Aurelia","4,189,758","1,245,438","Private room","761028","Triple room-""Opera Inn Suites B&B""","Elisabetta","XIII Aurelia","4,189,792","1,245,228","Private room"
"92","766424","A casa Boschi b&b Suite Mandarina","Irene","I Centro Storico","419,145","1,245,277","Private room","766376","A casa Boschi b&b Suite Fiordaliso","Irene","I Centro Storico","4,191,452","1,245,355","Private room"
"92","804601","Cibele B&B - Rome Center Earth Room","Emma","I Centro Storico","4,189,555","124,908","Private room","782585","Cibele B&B - Rome Center Water Room","Emma","I Centro Storico","4,189,573","1,249,254","Private room"
"92","817513","IL BOOM B&B TRASTEVERE - Room VITTI","Angelo","I Centro Storico","4,188,466","1,246,524","Private room","800652","IL BOOM B&B TRASTEVERE Room LOREN","Angelo","I Centro Storico","4,188,427","1,246,515","Private room"
"92","1269648","Marco e Laura B&B: Triple room","Laura","XIII Aurelia","4,189,991","1,244,358","Private room","1269615","Marco e Laura B&B: Double room","Laura","XIII Aurelia","4,189,869","1,244,392","Private room"
"92","1247612","Central room with private bathroom (Metro A - C)","Alessandra","VII San Giovanni/Cinecittà","4,188,367","1,251,331","Private room","1242610","Cozy and central with private bathroom","Alessandra","VII San Giovanni/Cinecittà","4,188,351","1,251,344","Private room"
"92","956558","Holiday rental St.Peter's area (4 beds)","Maurizio","XIII Aurelia","4,189,353","1,244,399","Entire home/apt","3051474","Holiday rental St.Peter's area (3 beds)","Maurizio","XIII Aurelia","4,189,576","1,244,526","Entire home/apt"
